ID	Type	Cluster representative	Virus Species	Host Species
AHX00961.1 Spodoptera exigua iflavirus 2	NCBI	AHX00961.1 Spodoptera exigua iflavirus 2	Iflavirus betaspexiguae	Spodoptera exigua
BAW94535.1 Bombyx mori iflavirus	NCBI	BAW94535.1 Bombyx mori iflavirus	Iflavirus	Bombyx mori
DRR086511_pg_nr1	Patched	DRR086511_pg_nr1	Novel	Spodoptera litura
DRR178522_pg_nr1	Patched	DRR178522_pg_nr1	Novel	Bombyx mori
DRR178523_pg_nr1	Patched	DRR178524_pg_nr1	Novel	Bombyx mori
DRR178524_pg_nr1	Patched	DRR178524_pg_nr1	Novel	Bombyx mori
DRR395456_pg_nr1	Patched	DRR395456_pg_nr1	Novel	Bombyx mori
ERR232452_pg_nr1	Patched	ERR232452_pg_nr1	Novel	Heliconius melpomene
ERR2587236_pg_nr1	Patched	ERR2587236_pg_nr1	Novel	Laparus doris
ERR2587259_pg_nr1	Patched	ERR2587259_pg_nr1	Novel	Heliconius sara
ERR4468625_pg_nr1	Patched	ERR4468625_pg_nr1	Novel	Heliconius melpomene
ERR841726_pg_nr1	Patched	ERR841726_pg_nr1	Novel	Laparus doris
NP_277061.1 Perina nuda virus	NCBI	NP_277061.1 Perina nuda virus	Iflavirus pernudae	Perina nuda
ACH57393.1 Infectious flacherie virus	NCBI	NP_620559.1 Infectious flacherie virus	Iflavirus flacherie	Bombyx mori
ADP24157.1 Infectious flacherie virus	NCBI	NP_620559.1 Infectious flacherie virus	Iflavirus flacherie	Bombyx mori
NP_620559.1 Infectious flacherie virus	NCBI	NP_620559.1 Infectious flacherie virus	Iflavirus flacherie	Bombyx mori
SRR11993447_complete_1	Complete	NP_620559.1 Infectious flacherie virus	Iflavirus flacherie	Bombyx mori
SRR11993448_complete_1	Complete	NP_620559.1 Infectious flacherie virus	Iflavirus flacherie	Bombyx mori
SRR11993449_complete_1	Complete	NP_620559.1 Infectious flacherie virus	Iflavirus flacherie	Bombyx mori
SRR11993450_complete_1	Complete	NP_620559.1 Infectious flacherie virus	Iflavirus flacherie	Bombyx mori
SRR11993451_complete_1	Complete	NP_620559.1 Infectious flacherie virus	Iflavirus flacherie	Bombyx mori
SRR11993452_complete_1	Complete	NP_620559.1 Infectious flacherie virus	Iflavirus flacherie	Bombyx mori
SRR13587373_complete_1	Complete	NP_620559.1 Infectious flacherie virus	Iflavirus flacherie	Bombyx mori
SRR21132304_complete_2	Complete	NP_620559.1 Infectious flacherie virus	Iflavirus flacherie	Bombyx mori
SRR21912665_complete_1	Complete	NP_620559.1 Infectious flacherie virus	Iflavirus flacherie	Bombyx mori
SRR21912666_pg_nr1	Patched	NP_620559.1 Infectious flacherie virus	Iflavirus flacherie	Bombyx mori
NP_919029.1 Ectropis obliqua picorna-like virus	NCBI	NP_919029.1 Ectropis obliqua picorna-like virus	Iflavirus ectobliquae	Ectropis obliqua
SRR13945426_complete_1	Complete	NP_919029.1 Ectropis obliqua picorna-like virus	Iflavirus ectobliquae	Ectropis grisescens
SRR5952131_complete_1	Complete	NP_919029.1 Ectropis obliqua picorna-like virus	Iflavirus ectobliquae	Ectropis obliqua
QID77674.1 Pink bollworm virus 1	NCBI	QID77674.1 Pink bollworm virus 1	Riboviria	Pectinophora gossypiella
SRR7005496_complete_1	Complete	QID77674.1 Pink bollworm virus 1	Riboviria	Pectinophora gossypiella
SRR7005498_complete_1	Complete	QID77674.1 Pink bollworm virus 1	Riboviria	Pectinophora gossypiella
SRR7005499_complete_1	Complete	QID77674.1 Pink bollworm virus 1	Riboviria	Pectinophora gossypiella
SRR7005500_complete_1	Complete	QID77674.1 Pink bollworm virus 1	Riboviria	Pectinophora gossypiella
SRR7005502_complete_1	Complete	QID77674.1 Pink bollworm virus 1	Riboviria	Pectinophora gossypiella
SRR7005503_complete_1	Complete	QID77674.1 Pink bollworm virus 1	Riboviria	Pectinophora gossypiella
QID77679.1 Pink bollworm virus 4	NCBI	QID77679.1 Pink bollworm virus 4	Riboviria	Pectinophora gossypiella
SRR7005496_complete_2	Complete	QID77679.1 Pink bollworm virus 4	Riboviria	Pectinophora gossypiella
SRR7005498_complete_2	Complete	QID77679.1 Pink bollworm virus 4	Riboviria	Pectinophora gossypiella
SRR7005499_complete_2	Complete	QID77679.1 Pink bollworm virus 4	Riboviria	Pectinophora gossypiella
SRR7005500_complete_2	Complete	QID77679.1 Pink bollworm virus 4	Riboviria	Pectinophora gossypiella
SRR7005502_complete_2	Complete	QID77679.1 Pink bollworm virus 4	Riboviria	Pectinophora gossypiella
SRR7005503_complete_2	Complete	QID77679.1 Pink bollworm virus 4	Riboviria	Pectinophora gossypiella
QJB76116.1 Lymantria dispar iflavirus 1	NCBI	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR1021618_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17243375_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17243376_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17243377_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
